City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,9.21,55,100,4.57,US,1681851705
1,corciano,43.129,12.2874,10.14,82,56,4.12,IT,1681851705
2,mendota,36.7536,-120.3816,16.29,35,100,4.82,US,1681851705
3,longyearbyen,78.2186,15.6401,-0.09,93,75,2.06,SJ,1681851705
4,punta arenas,-53.15,-70.9167,9.06,76,100,3.6,CL,1681851705
5,avarua,-21.2078,-159.775,23.03,94,100,8.23,CK,1681851705
6,dalvik,65.9702,-18.5286,7.84,89,100,3.37,IS,1681851705
7,richmond,37.5538,-77.4603,25.93,15,0,8.23,US,1681851705
8,castro,-24.7911,-50.0119,16.86,97,99,1.46,BR,1681851705
9,chuy,-33.6971,-53.4616,15.42,45,64,5.34,UY,1681851705
10,bemidji,47.4736,-94.8803,11.61,28,0,4.12,US,1681851705
11,rikitea,-23.1203,-134.9692,25.96,75,8,6.84,PF,1681851705
12,hilo,19.7297,-155.09,29.04,67,20,8.23,US,1681851705
13,puerto ayora,-0.7393,-90.3518,28.98,91,87,0.89,EC,1681851705
14,fuerte olimpo,-21.0415,-57.8738,20.45,91,98,2.13,PY,1681851705
15,banjar,-8.19,114.9675,24.26,88,93,2.07,ID,1681851705
16,kyren,51.6828,102.1408,-8.13,84,94,1.3,RU,1681851705
17,bathsheba,13.2167,-59.5167,26.15,70,13,7.87,BB,1681851705
18,ancud,-41.8697,-73.8203,12.64,91,100,4.32,CL,1681851705
19,hobart,-42.8794,147.3294,11.92,76,20,2.57,AU,1681851705
20,east london,-33.0153,27.9116,19.41,84,0,1.6,ZA,1681851705
21,port alfred,-33.5906,26.891,19.64,83,0,3.43,ZA,1681851705
22,jalostotitlan,21.2,-102.4667,29.36,11,14,7.01,MX,1681851705
23,bethel,41.3712,-73.414,14.16,47,0,6.17,US,1681851705
24,dormidontovka,47.7702,134.9076,6.97,75,88,1.9,RU,1681851705
25,nanortalik,60.1432,-45.2371,0.93,91,83,1.87,GL,1681851705
26,arraial do cabo,-22.9661,-42.0278,25.92,83,75,4.12,BR,1681851705
27,coihaique,-45.5752,-72.0662,14.97,55,75,3.6,CL,1681851705
28,santiago del estero,-27.7951,-64.2615,24.74,51,0,1.95,AR,1681851705
29,sedalia,38.7045,-93.2283,24.71,56,100,5.66,US,1681851705
30,busselton,-33.65,115.3333,11.04,83,0,4.28,AU,1681851705
31,tuktoyaktuk,69.4541,-133.0374,-18.0,85,100,4.12,CA,1681851705
32,guerrero negro,27.9769,-114.0611,17.49,57,100,9.52,MX,1681851705
33,beberibe,-4.1797,-38.1306,25.74,88,52,2.51,BR,1681851705
34,lompoc,34.6391,-120.4579,20.99,67,20,10.73,US,1681851705
35,canchungo,12.0672,-16.0333,24.51,66,100,3.57,GW,1681851705
36,byron bay,-28.65,153.6167,16.51,70,100,3.71,AU,1681851705
37,vaini,-21.2,-175.2,25.09,88,100,10.29,TO,1681851705
38,kapaa,22.0752,-159.319,23.39,89,100,7.2,US,1681851705
39,hermanus,-34.4187,19.2345,15.45,81,42,3.46,ZA,1681851705
40,solnechnyy,50.7214,136.6319,2.53,62,100,1.87,RU,1681851705
41,youhao,47.8667,128.8333,0.92,83,87,1.09,CN,1681851705
42,sitka,57.0531,-135.33,8.94,57,20,1.54,US,1681851705
43,otaru,43.1894,141.0022,5.57,93,100,2.64,JP,1681851705
44,pevek,69.7008,170.3133,-6.88,81,100,5.75,RU,1681851705
45,khandbari,27.3747,87.2039,22.11,30,9,2.33,NP,1681851705
46,inhambane,-23.865,35.3833,22.01,80,56,2.88,MZ,1681851705
47,svetlaya,46.5389,138.3297,2.58,67,100,1.68,RU,1681851705
48,sibolga,1.7427,98.7792,24.27,85,99,1.39,ID,1681851705
49,dargaville,-35.9333,173.8833,20.17,87,100,4.04,NZ,1681851705
50,mataura,-46.1927,168.8643,11.38,93,100,1.46,NZ,1681851705
51,kieta,-6.2167,155.6333,26.62,75,14,0.79,PG,1681851705
52,necochea,-38.5473,-58.7368,14.13,60,99,7.08,AR,1681851705
